feature_family,analysis,transfer_family,holdout,train_n,test_n,accuracy,balanced_accuracy,accuracy_delta_vs_frozen_full,balanced_accuracy_delta_vs_frozen_full
nonstructural_style,P4,length_cap,5,3599,1799,0.4296831573096164,0.4296098104793757,-0.06614785992217903,-0.0660646599777035
nonstructural_style,P4,length_cap,10,3599,1799,0.5625347415230684,0.5626012634708286,-0.011117287381878782,-0.011148272017837302
nonstructural_style,P4,length_cap,20,3598,1800,0.4961111111111111,0.4961111111111111,0.11277777777777775,0.11277777777777781
nonstructural_style,P4,length_cap,pooled,0,5398,0.4961096702482401,0.4961214106208544,0.011856243052982607,0.011854323734190264
full_body,P1,,,5398,180,0.4888888888888889,0.4888888888888889,0.0,0.0
full_body,P3,,story,360,180,0.24444444444444444,0.24444444444444446,0.0,0.0
full_body,P3,,animal,360,180,0.25,0.25,0.0,0.0
full_body,P3,,poem,360,180,0.17777777777777778,0.17777777777777778,0.0,0.0
full_body,P3,,pooled,0,540,0.22407407407407406,0.22407407407407406,0.0,0.0
full_body,P4,phrasing,write,3599,1799,0.6414674819344081,0.6414214046822743,0.0,0.0
full_body,P4,phrasing,compose,3599,1799,0.6592551417454141,0.6593924191750279,0.0,0.0
full_body,P4,phrasing,gimme,3598,1800,0.5572222222222222,0.5572222222222222,0.0,0.0
full_body,P4,phrasing,pooled,0,5398,0.6193034457206372,0.6193200263667449,0.0,0.0
full_body,P4,length_cap,5,3599,1799,0.49583101723179546,0.4956744704570792,0.0,0.0
full_body,P4,length_cap,10,3599,1799,0.5736520289049472,0.5737495354886659,0.0,0.0
full_body,P4,length_cap,20,3598,1800,0.38333333333333336,0.3833333333333333,0.0,0.0
full_body,P4,length_cap,pooled,0,5398,0.4842534271952575,0.48426708688666414,0.0,0.0
