resample,train_n,test_n,accuracy,balanced_accuracy
670,90,90,0.5111111111111111,0.5111111111111111
671,90,90,0.5333333333333333,0.5333333333333333
672,90,90,0.5,0.5
673,90,90,0.5444444444444444,0.5444444444444444
674,90,90,0.6444444444444445,0.6444444444444445
675,90,90,0.6,0.6000000000000001
676,90,90,0.5888888888888889,0.5888888888888889
677,90,90,0.5777777777777777,0.5777777777777778
678,90,90,0.5888888888888889,0.5888888888888889
679,90,90,0.5333333333333333,0.5333333333333333
680,90,90,0.5777777777777777,0.5777777777777778
681,90,90,0.6,0.6000000000000001
682,90,90,0.6555555555555556,0.6555555555555556
683,90,90,0.5777777777777777,0.5777777777777778
684,90,90,0.5555555555555556,0.5555555555555556
685,90,90,0.6,0.6000000000000001
686,90,90,0.5444444444444444,0.5444444444444444
687,90,90,0.5666666666666667,0.5666666666666668
688,90,90,0.5666666666666667,0.5666666666666668
689,90,90,0.6333333333333333,0.6333333333333333
690,90,90,0.5555555555555556,0.5555555555555555
691,90,90,0.5888888888888889,0.5888888888888889
692,90,90,0.5888888888888889,0.5888888888888889
693,90,90,0.5777777777777777,0.5777777777777778
694,90,90,0.5222222222222223,0.5222222222222223
695,90,90,0.6,0.6
696,90,90,0.6666666666666666,0.6666666666666666
697,90,90,0.5666666666666667,0.5666666666666668
698,90,90,0.5555555555555556,0.5555555555555556
699,90,90,0.6222222222222222,0.6222222222222222
700,90,90,0.6111111111111112,0.6111111111111112
701,90,90,0.5666666666666667,0.5666666666666667
702,90,90,0.6,0.6
703,90,90,0.5666666666666667,0.5666666666666667
704,90,90,0.5444444444444444,0.5444444444444444
705,90,90,0.5222222222222223,0.5222222222222221
706,90,90,0.6222222222222222,0.6222222222222221
707,90,90,0.5333333333333333,0.5333333333333333
708,90,90,0.5777777777777777,0.5777777777777778
709,90,90,0.4888888888888889,0.4888888888888889
710,90,90,0.5444444444444444,0.5444444444444444
711,90,90,0.6,0.6
712,90,90,0.6,0.6
713,90,90,0.6222222222222222,0.6222222222222222
714,90,90,0.5777777777777777,0.5777777777777778
715,90,90,0.5666666666666667,0.5666666666666667
716,90,90,0.5111111111111111,0.5111111111111111
717,90,90,0.6222222222222222,0.6222222222222221
718,90,90,0.5333333333333333,0.5333333333333333
719,90,90,0.6,0.6000000000000001
720,90,90,0.5444444444444444,0.5444444444444444
721,90,90,0.5555555555555556,0.5555555555555555
722,90,90,0.5888888888888889,0.5888888888888889
723,90,90,0.6333333333333333,0.6333333333333333
724,90,90,0.5222222222222223,0.5222222222222223
725,90,90,0.5777777777777777,0.5777777777777778
726,90,90,0.5777777777777777,0.5777777777777778
727,90,90,0.5777777777777777,0.5777777777777778
728,90,90,0.5777777777777777,0.5777777777777778
729,90,90,0.4777777777777778,0.4777777777777778
730,90,90,0.5666666666666667,0.5666666666666667
731,90,90,0.5333333333333333,0.5333333333333333
732,90,90,0.5777777777777777,0.5777777777777778
733,90,90,0.5222222222222223,0.5222222222222223
734,90,90,0.6222222222222222,0.6222222222222222
735,90,90,0.6333333333333333,0.6333333333333333
736,90,90,0.5666666666666667,0.5666666666666667
737,90,90,0.5888888888888889,0.5888888888888889
738,90,90,0.5777777777777777,0.5777777777777777
739,90,90,0.5111111111111111,0.5111111111111111
740,90,90,0.5888888888888889,0.5888888888888889
741,90,90,0.5222222222222223,0.5222222222222223
742,90,90,0.6111111111111112,0.611111111111111
743,90,90,0.6666666666666666,0.6666666666666666
744,90,90,0.6222222222222222,0.6222222222222222
745,90,90,0.6333333333333333,0.6333333333333333
746,90,90,0.6777777777777778,0.6777777777777777
747,90,90,0.5111111111111111,0.5111111111111112
748,90,90,0.6222222222222222,0.6222222222222222
749,90,90,0.5666666666666667,0.5666666666666668
750,90,90,0.5333333333333333,0.5333333333333333
751,90,90,0.5888888888888889,0.5888888888888889
752,90,90,0.6111111111111112,0.6111111111111112
753,90,90,0.6,0.6
754,90,90,0.6222222222222222,0.6222222222222222
755,90,90,0.5222222222222223,0.5222222222222223
756,90,90,0.6333333333333333,0.6333333333333333
757,90,90,0.5888888888888889,0.5888888888888889
758,90,90,0.6444444444444445,0.6444444444444445
759,90,90,0.6333333333333333,0.6333333333333333
760,90,90,0.5666666666666667,0.5666666666666667
761,90,90,0.5444444444444444,0.5444444444444444
762,90,90,0.5444444444444444,0.5444444444444444
763,90,90,0.6555555555555556,0.6555555555555556
764,90,90,0.6111111111111112,0.611111111111111
765,90,90,0.5666666666666667,0.5666666666666668
766,90,90,0.6333333333333333,0.6333333333333334
767,90,90,0.5777777777777777,0.5777777777777778
768,90,90,0.5777777777777777,0.5777777777777778
769,90,90,0.6,0.6
770,90,90,0.5111111111111111,0.5111111111111112
771,90,90,0.6111111111111112,0.6111111111111112
772,90,90,0.5333333333333333,0.5333333333333333
773,90,90,0.5333333333333333,0.5333333333333333
774,90,90,0.7444444444444445,0.7444444444444445
775,90,90,0.5666666666666667,0.5666666666666667
776,90,90,0.5666666666666667,0.5666666666666668
777,90,90,0.5888888888888889,0.5888888888888889
778,90,90,0.6555555555555556,0.6555555555555556
779,90,90,0.5666666666666667,0.5666666666666668
780,90,90,0.5666666666666667,0.5666666666666668
781,90,90,0.6,0.6000000000000001
782,90,90,0.6222222222222222,0.6222222222222222
783,90,90,0.6,0.6
784,90,90,0.6333333333333333,0.6333333333333333
785,90,90,0.5666666666666667,0.5666666666666668
786,90,90,0.5777777777777777,0.5777777777777778
787,90,90,0.5777777777777777,0.5777777777777778
788,90,90,0.6333333333333333,0.6333333333333333
789,90,90,0.6111111111111112,0.611111111111111
790,90,90,0.6222222222222222,0.6222222222222222
791,90,90,0.5888888888888889,0.5888888888888889
792,90,90,0.5444444444444444,0.5444444444444444
793,90,90,0.5111111111111111,0.5111111111111111
794,90,90,0.6333333333333333,0.6333333333333333
795,90,90,0.5,0.5
796,90,90,0.6,0.6
797,90,90,0.5111111111111111,0.5111111111111112
798,90,90,0.5444444444444444,0.5444444444444444
799,90,90,0.5888888888888889,0.5888888888888889
800,90,90,0.6333333333333333,0.6333333333333333
801,90,90,0.5555555555555556,0.5555555555555556
802,90,90,0.5888888888888889,0.5888888888888889
803,90,90,0.5777777777777777,0.5777777777777778
804,90,90,0.6111111111111112,0.611111111111111
805,90,90,0.5888888888888889,0.5888888888888889
